Age,Job,Saving accounts,Credit amount,Duration,Purpose,Sex_female,Sex_male,Housing_free,Housing_own,Housing_rent,Checking account_little,Checking account_moderate,Checking account_rich,Checking account_unknown
67,2,4,-0.7451314133870967,6,5,0,1,0,1,0,1,0,0,0
22,2,0,0.9498167893630399,48,5,1,0,0,1,0,0,1,0,0
49,1,0,-0.4165624079606273,12,3,0,1,0,1,0,0,0,0,1
45,2,0,1.634246939825297,42,4,0,1,1,0,0,1,0,0,0
53,2,0,0.5666635047179338,24,1,0,1,1,0,0,1,0,0,0
35,1,4,2.0500090146529657,36,3,0,1,1,0,0,0,0,0,1
53,2,2,-0.1546287563854807,24,4,0,1,0,1,0,0,0,0,1
35,3,0,1.3031968307979807,36,1,0,1,0,0,1,0,1,0,0
61,1,3,-0.07523344115837269,12,5,0,1,0,1,0,0,0,0,1
28,3,0,0.6956808919619843,30,1,0,1,0,1,0,0,1,0,0
25,2,0,-0.7004715485718485,12,1,1,0,0,0,1,0,1,0,0
24,2,0,0.3674663299070645,48,0,1,0,0,0,1,1,0,0,0
22,2,0,-0.6040629515103602,12,5,1,0,0,1,0,0,1,0,0
60,1,0,-0.734498112240609,24,1,0,1,0,1,0,1,0,0,0
28,2,0,-0.6621916644444927,15,1,1,0,0,0,1,1,0,0,0
32,1,1,-0.7050793124019931,24,5,1,0,0,1,0,1,0,0,0
53,2,4,-0.30030498209236195,24,5,0,1,0,1,0,0,0,0,1
25,2,4,1.701591180419719,30,0,0,1,0,1,0,1,0,0,0
44,3,0,3.2990674559937188,24,1,1,0,1,0,0,0,1,0,0
31,2,2,0.056265049686524994,24,5,0,1,0,1,0,0,0,0,1
48,2,0,-0.4030935598417429,9,1,0,1,0,1,0,0,0,0,1
44,2,2,-0.22126411023680354,6,5,0,1,0,0,1,1,0,0,0
48,1,0,-0.3651681190859368,10,1,0,1,0,0,1,1,0,0,0
44,2,1,-0.5200598724531074,12,1,0,1,0,1,0,0,1,0,0
26,2,4,-0.4261323789924662,10,4,0,1,0,1,0,0,0,0,1
36,1,0,-0.6724705222194308,6,4,0,1,0,1,0,1,0,0,0
39,1,0,-1.0084828384484417,6,5,0,1,0,1,0,0,0,0,1
42,2,3,-1.0145083757647846,12,5,1,0,0,0,1,0,0,1,0
34,2,0,-0.3034949724363083,7,5,0,1,0,1,0,0,1,0,0
63,2,0,1.2634991731844265,60,0,0,1,0,1,0,1,0,0,0
36,2,3,-0.48142554495420214,18,0,0,1,0,1,0,0,1,0,0
27,2,0,0.26538663890078273,24,4,0,1,0,1,0,1,0,0,0
30,2,1,0.9196891027813249,18,1,0,1,0,1,0,0,1,0,0
