name,wins,kills,kdRatio,killstreak,level,losses,prestige,hits,timePlayed,headshots,averageTime,gamesPlayed,assists,misses,xp,scorePerMinute,shots,deaths
Brxndoon7-LK#4002715,684,27011,1.0667430196279768,18,177,10,110,98332,1366,5113,2.32312925170068,588,6063,305319,3932335,255.67203513909223,403651,25321
bdooory_ab#7095171,4,162,0.6328125,4,6,2,0,568,8,35,2.0,4,68,4836,24485,265.5,5404,256
ahevepluto#3505304,186,1898,0.5696278511404562,13,37,7,2,5111,550,485,3.6666666666666665,150,488,39978,458269,180.3796363636364,45089,3332
MilkyLemonz-_-#5981249,741,21803,1.0366584252567517,26,185,29,111,81361,2442,3894,2.826388888888889,864,4029,327230,4269370,198.84422604422605,408591,21032
RPDUNKduo#8122914,26,349,0.4440203562340967,7,12,4,0,996,44,40,2.933333333333333,15,138,4844,72765,253.67727272727268,5840,786
CzarnyDelfinek#9059572,188,1949,1.4957789716039909,22,53,4,57,3333,409,536,16.36,25,150,10511,909543,38.63031784841076,13844,1303
SanDrasoSa,15,132,0.631578947368421,7,5,4,0,549,21,25,3.5,6,31,3153,18430,199.7428571428572,3702,209
DrunkUnc92#7705654,207,3452,0.6977966444309682,10,40,9,110,16134,378,535,2.9302325581395348,129,811,104881,530615,266.01428571428573,121015,4947
whoshotghost#1916366,106,3284,0.9461250360126764,17,41,11,12,11772,255,501,1.9921875,128,532,49715,543830,278.6447058823529,61487,3471
Nsory_1#5583298,1592,15033,0.7803270179081235,17,156,13,111,49680,3247,2367,3.054562558795862,1063,2099,247686,3018769,230.43030489682783,297366,19265
LimpThaDon,190,3033,1.00999000999001,13,37,8,110,9846,421,489,2.520958083832336,167,583,42460,458078,152.73064133016624,52306,3003
DeGiove#5248918,605,7764,0.8532805802835477,14,63,8,111,32602,1153,1549,2.638443935926773,437,1106,125227,1050069,281.43590633130964,157829,9099
teruteru_yt_#6461227,35,900,0.9394572025052192,12,19,5,6,3078,71,197,2.290322580645161,31,149,10257,149095,300.01690140845074,13335,958
edgexgaming8901#9276950,51,603,0.6947004608294931,11,12,5,0,2483,92,102,2.628571428571429,35,94,9874,66675,197.3217391304348,12357,868
SlaPzz#6879518,42,1233,0.9397865853658536,9,24,7,39,2711,78,296,2.4375,32,197,7274,211625,306.67692307692306,9985,1312
HORUS REED#8123889,349,9899,1.399943430915005,13,238,10,112,14482,1621,2062,9.648809523809524,168,1016,62300,6541499,51.62739049969154,76782,7071
CohesiveMango93#8505922,59,1041,0.7149725274725275,8,20,5,0,4335,99,169,2.9117647058823533,34,281,18216,158915,250.29090909090908,22551,1456
Bobdustt#2422031,81,2041,1.1459854014598538,14,29,9,21,7265,169,324,2.0119047619047623,84,481,28320,301903,266.3857988165681,35585,1781
