wilayah,waktu,cuaca,kelembaban_min,kelembaban_max,kelembaban_mean,suhu_min,suhu_max,suhu_mean
Jakarta Barat,Malam,Hujan Ringan,65,95,80.0,22,31,26.5
Jakarta Barat,Pagi,Hujan Ringan,65,95,80.0,22,31,26.5
Jakarta Barat,Siang,Hujan Petir,65,95,80.0,22,31,26.5
Jakarta Pusat,Malam,Hujan Ringan,65,95,80.0,22,31,26.5
Jakarta Pusat,Pagi,Hujan Ringan,65,95,80.0,22,31,26.5
Jakarta Pusat,Siang,Hujan Petir,65,95,80.0,22,31,26.5
Jakarta Selatan,Malam,Hujan Ringan,65,95,80.0,22,31,26.5
Jakarta Selatan,Pagi,Berawan,65,95,80.0,22,31,26.5
Jakarta Selatan,Siang,Hujan Petir,65,95,80.0,22,31,26.5
Jakarta Timur,Malam,Hujan Ringan,65,95,80.0,22,31,26.5
Jakarta Timur,Pagi,Hujan Ringan,65,95,80.0,22,31,26.5
Jakarta Timur,Siang,Hujan Petir,65,95,80.0,22,31,26.5
Jakarta Utara,Malam,Hujan Ringan,65,95,80.0,22,31,26.5
Jakarta Utara,Pagi,Berawan,65,95,80.0,22,31,26.5
Jakarta Utara,Siang,Hujan Petir,65,95,80.0,22,31,26.5
Kepulauan Seribu,Malam,Hujan Ringan,65,95,80.0,22,31,26.5
Kepulauan Seribu,Pagi,Hujan Ringan,65,95,80.0,22,31,26.5
Kepulauan Seribu,Siang,Hujan Petir,65,95,80.0,22,31,26.5
Jakarta Barat,Malam,Hujan Sedang,60,95,77.5,21,34,27.5
Jakarta Barat,Pagi,Berawan,60,95,77.5,21,34,27.5
Jakarta Barat,Siang,Hujan Sedang,60,95,77.5,21,34,27.5
Jakarta Pusat,Malam,Hujan Ringan,60,95,77.5,21,34,27.5
Jakarta Pusat,Pagi,Berawan,60,95,77.5,21,34,27.5
Jakarta Pusat,Siang,Hujan Ringan,60,95,77.5,21,34,27.5
Jakarta Selatan,Malam,Hujan Ringan,60,95,77.5,21,34,27.5
Jakarta Selatan,Pagi,Berawan,60,95,77.5,21,34,27.5
Jakarta Selatan,Siang,Hujan Sedang,60,95,77.5,21,34,27.5
Jakarta Timur,Malam,Hujan Ringan,60,95,77.5,21,34,27.5
Jakarta Timur,Pagi,Berawan,60,95,77.5,21,34,27.5
Jakarta Timur,Siang,Hujan Sedang,60,95,77.5,21,34,27.5
Jakarta Utara,Malam,Hujan Ringan,60,95,77.5,21,34,27.5
Jakarta Utara,Pagi,Berawan,60,95,77.5,21,34,27.5
Jakarta Utara,Siang,Hujan Ringan,60,95,77.5,21,34,27.5
Kepulauan Seribu,Malam,Hujan Ringan,60,95,77.5,21,34,27.5
Kepulauan Seribu,Pagi,Hujan Ringan,60,95,77.5,21,34,27.5
Kepulauan Seribu,Siang,Hujan Ringan,60,95,77.5,21,34,27.5
Jakarta Barat,Malam,Berawan,60,95,77.5,22,31,26.5
Jakarta Barat,Pagi,Berawan Tebal,60,95,77.5,22,31,26.5
Jakarta Barat,Siang,Berawan,60,95,77.5,22,31,26.5
Jakarta Pusat,Malam,Berawan,60,95,77.5,22,31,26.5
Jakarta Pusat,Pagi,Berawan Tebal,60,95,77.5,22,31,26.5
Jakarta Pusat,Siang,Berawan,60,95,77.5,22,31,26.5
Jakarta Selatan,Malam,Berawan,60,95,77.5,22,31,26.5
Jakarta Selatan,Pagi,Berawan Tebal,60,95,77.5,22,31,26.5
Jakarta Selatan,Siang,Hujan Ringan,60,95,77.5,22,31,26.5
Jakarta Timur,Malam,Berawan,60,95,77.5,22,31,26.5
Jakarta Timur,Pagi,Berawan Tebal,60,95,77.5,22,31,26.5
Jakarta Timur,Siang,Hujan Ringan,60,95,77.5,22,31,26.5
Jakarta Utara,Malam,Berawan,60,95,77.5,22,31,26.5
Jakarta Utara,Pagi,Hujan Ringan,60,95,77.5,22,31,26.5
Jakarta Utara,Siang,Berawan,60,95,77.5,22,31,26.5
Kepulauan Seribu,Malam,Berawan,60,95,77.5,22,31,26.5
Kepulauan Seribu,Pagi,Hujan Ringan,60,95,77.5,22,31,26.5
Kepulauan Seribu,Siang,Berawan,60,95,77.5,22,31,26.5
Jakarta Barat,Malam,Hujan Sedang,70,95,82.5,21,33,27.0
Jakarta Barat,Pagi,Berawan,70,95,82.5,21,33,27.0
Jakarta Barat,Siang,Hujan Sedang,70,95,82.5,21,33,27.0
Jakarta Pusat,Malam,Hujan Ringan,70,95,82.5,21,33,27.0
Jakarta Pusat,Pagi,Berawan,70,95,82.5,21,33,27.0
Jakarta Pusat,Siang,Hujan Ringan,70,95,82.5,21,33,27.0
Jakarta Selatan,Malam,Hujan Ringan,70,95,82.5,21,33,27.0
Jakarta Selatan,Pagi,Berawan,70,95,82.5,21,33,27.0
Jakarta Selatan,Siang,Hujan Sedang,70,95,82.5,21,33,27.0
Jakarta Timur,Malam,Hujan Ringan,70,95,82.5,21,33,27.0
Jakarta Timur,Pagi,Berawan,70,95,82.5,21,33,27.0
Jakarta Timur,Siang,Hujan Sedang,70,95,82.5,21,33,27.0
Jakarta Utara,Malam,Hujan Ringan,70,95,82.5,21,33,27.0
Jakarta Utara,Pagi,Berawan,70,95,82.5,21,33,27.0
Jakarta Utara,Siang,Hujan Ringan,70,95,82.5,21,33,27.0
Kepulauan Seribu,Malam,Hujan Ringan,70,95,82.5,21,33,27.0
Kepulauan Seribu,Pagi,Hujan Ringan,70,95,82.5,21,33,27.0
Kepulauan Seribu,Siang,Hujan Ringan,70,95,82.5,21,33,27.0
Jakarta Barat,Malam,Hujan Sedang,75,100,87.5,22,32,27.0
Jakarta Barat,Pagi,Berawan,75,100,87.5,22,32,27.0
Jakarta Barat,Siang,Hujan Sedang,75,100,87.5,22,32,27.0
Jakarta Pusat,Malam,Hujan Ringan,75,100,87.5,22,32,27.0
Jakarta Pusat,Pagi,Berawan,75,100,87.5,22,32,27.0
Jakarta Pusat,Siang,Hujan Ringan,75,100,87.5,22,32,27.0
Jakarta Selatan,Malam,Hujan Ringan,75,100,87.5,22,32,27.0
Jakarta Selatan,Pagi,Berawan,75,100,87.5,22,32,27.0
Jakarta Selatan,Siang,Hujan Sedang,75,100,87.5,22,32,27.0
Jakarta Timur,Malam,Hujan Ringan,75,100,87.5,22,32,27.0
Jakarta Timur,Pagi,Berawan,75,100,87.5,22,32,27.0
Jakarta Timur,Siang,Hujan Sedang,75,100,87.5,22,32,27.0
Jakarta Utara,Malam,Hujan Ringan,75,100,87.5,22,32,27.0
Jakarta Utara,Pagi,Berawan,75,100,87.5,22,32,27.0
Jakarta Utara,Siang,Hujan Ringan,75,100,87.5,22,32,27.0
Kepulauan Seribu,Malam,Hujan Ringan,75,100,87.5,22,32,27.0
Kepulauan Seribu,Pagi,Hujan Ringan,75,100,87.5,22,32,27.0
Kepulauan Seribu,Siang,Hujan Ringan,75,100,87.5,22,32,27.0
Jakarta Barat,Malam,Hujan Sedang,65,97,81.0,22,32,27.0
Jakarta Barat,Pagi,Berawan,65,97,81.0,22,32,27.0
Jakarta Barat,Siang,Hujan Sedang,65,97,81.0,22,32,27.0
Jakarta Pusat,Malam,Hujan Ringan,65,97,81.0,22,32,27.0
