tanggal,wilayah,waktu,cuaca,kelembaban_persen,suhu_derajat_celcius
2018-12-31,Kepulauan Seribu,Siang,Hujan Lokal, 70 - 90,24 - 32
2018-12-31,Kepulauan Seribu,Pagi,Hujan Lokal, 70 - 90,24 - 32
2018-12-31,Kepulauan Seribu,Malam,Hujan Lokal, 70 - 90,24 - 32
2018-12-31,Kepulauan Seribu,Dini Hari,Hujan Ringan, 70 - 90,24 - 32
2018-12-31,Jakarta Utara,Siang,Hujan Lokal, 70 - 90,24 - 32
2018-12-31,Jakarta Utara,Pagi,Berawan, 70 - 90,24 - 32
2018-12-31,Jakarta Utara,Malam,Berawan, 70 - 90,24 - 32
2018-12-31,Jakarta Utara,Dini Hari,Hujan Lokal, 70 - 90,24 - 32
2018-12-31,Jakarta Timur,Siang,Hujan Lokal, 70 - 90,24 - 32
2018-12-31,Jakarta Timur,Pagi,Berawan, 70 - 90,24 - 32
2018-12-31,Jakarta Timur,Malam,Berawan, 70 - 90,24 - 32
2018-12-31,Jakarta Timur,Dini Hari,Berawan, 70 - 90,24 - 32
2018-12-31,Jakarta Selatan,Siang,Hujan Lokal, 70 - 90,24 - 32
2018-12-31,Jakarta Selatan,Pagi,Berawan, 70 - 90,24 - 32
2018-12-31,Jakarta Selatan,Malam,Berawan, 70 - 90,24 - 32
2018-12-31,Jakarta Selatan,Dini Hari,Berawan, 70 - 90,24 - 32
2018-12-31,Jakarta Pusat,Siang,Berawan, 70 - 90,24 - 32
2018-12-31,Jakarta Pusat,Pagi,Berawan, 70 - 90,24 - 32
2018-12-31,Jakarta Pusat,Malam,Berawan, 70 - 90,24 - 32
2018-12-31,Jakarta Pusat,Dini Hari,Berawan, 70 - 90,24 - 32
2018-12-31,Jakarta Barat,Siang,Hujan Lokal, 70 - 90,24 - 32
2018-12-31,Jakarta Barat,Pagi,Berawan, 70 - 90,24 - 32
2018-12-31,Jakarta Barat,Malam,Berawan, 70 - 90,24 - 32
2018-12-31,Jakarta Barat,Dini Hari,Hujan Lokal, 70 - 90,24 - 32
2018-12-30,Kepulauan Seribu,Siang,Cerah Berawan, 55 - 90,24 - 32
2018-12-30,Kepulauan Seribu,Pagi,Cerah Berawan, 55 - 90,24 - 32
2018-12-30,Kepulauan Seribu,Malam,Cerah Berawan, 55 - 90,24 - 32
2018-12-30,Kepulauan Seribu,Dini Hari,Cerah Berawan, 55 - 90,24 - 32
2018-12-30,Jakarta Utara,Siang,Cerah Berawan, 55 - 90,24 - 32
2018-12-30,Jakarta Utara,Pagi,Cerah Berawan, 55 - 90,24 - 32
2018-12-30,Jakarta Utara,Malam,Cerah Berawan, 55 - 90,24 - 32
2018-12-30,Jakarta Utara,Dini Hari,Cerah Berawan, 55 - 90,24 - 32
2018-12-30,Jakarta Timur,Siang,Cerah Berawan, 55 - 90,24 - 32
2018-12-30,Jakarta Timur,Pagi,Cerah Berawan, 55 - 90,24 - 32
2018-12-30,Jakarta Timur,Malam,Cerah Berawan, 55 - 90,24 - 32
2018-12-30,Jakarta Timur,Dini Hari,Cerah Berawan, 55 - 90,24 - 32
2018-12-30,Jakarta Selatan,Siang,Cerah Berawan, 55 - 90,24 - 32
2018-12-30,Jakarta Selatan,Pagi,Cerah Berawan, 55 - 90,24 - 32
2018-12-30,Jakarta Selatan,Malam,Cerah Berawan, 55 - 90,24 - 32
2018-12-30,Jakarta Selatan,Dini Hari,Cerah Berawan, 55 - 90,24 - 32
2018-12-30,Jakarta Pusat,Siang,Cerah Berawan, 55 - 90,24 - 32
