tanggal;wilayah;waktu;cuaca;kelembaban_persen;suhu_derajat_celcius
03/01/2017;Jakarta Barat;Malam;Hujan Ringan;65 - 95;22 - 31
03/01/2017;Jakarta Barat;Pagi;Hujan Ringan;65 - 95;22 - 31
03/01/2017;Jakarta Barat;Siang;Hujan Petir;65 - 95;22 - 31
03/01/2017;Jakarta Pusat;Malam;Hujan Ringan;65 - 95;22 - 31
03/01/2017;Jakarta Pusat;Pagi;Hujan Ringan;65 - 95;22 - 31
03/01/2017;Jakarta Pusat;Siang;Hujan Petir;65 - 95;22 - 31
03/01/2017;Jakarta Selatan;Malam;Hujan Ringan;65 - 95;22 - 31
03/01/2017;Jakarta Selatan;Pagi;Berawan;65 - 95;22 - 31
03/01/2017;Jakarta Selatan;Siang;Hujan Petir;65 - 95;22 - 31
03/01/2017;Jakarta Timur;Malam;Hujan Ringan;65 - 95;22 - 31
03/01/2017;Jakarta Timur;Pagi;Hujan Ringan;65 - 95;22 - 31
03/01/2017;Jakarta Timur;Siang;Hujan Petir;65 - 95;22 - 31
03/01/2017;Jakarta Utara;Malam;Hujan Ringan;65 - 95;22 - 31
03/01/2017;Jakarta Utara;Pagi;Berawan;65 - 95;22 - 31
03/01/2017;Jakarta Utara;Siang;Hujan Petir;65 - 95;22 - 31
03/01/2017;Kepulauan Seribu;Malam;Hujan Ringan;65 - 95;22 - 31
03/01/2017;Kepulauan Seribu;Pagi;Hujan Ringan;65 - 95;22 - 31
03/01/2017;Kepulauan Seribu;Siang;Hujan Petir;65 - 95;22 - 31
04/01/2017;Jakarta Barat;Malam;Hujan Sedang;60 - 95;21 - 34
04/01/2017;Jakarta Barat;Pagi;Berawan;60 - 95;21 - 34
04/01/2017;Jakarta Barat;Siang;Hujan Sedang;60 - 95;21 - 34
04/01/2017;Jakarta Pusat;Malam;Hujan Ringan;60 - 95;21 - 34
04/01/2017;Jakarta Pusat;Pagi;Berawan;60 - 95;21 - 34
04/01/2017;Jakarta Pusat;Siang;Hujan Ringan;60 - 95;21 - 34
04/01/2017;Jakarta Selatan;Malam;Hujan Ringan;60 - 95;21 - 34
04/01/2017;Jakarta Selatan;Pagi;Berawan;60 - 95;21 - 34
04/01/2017;Jakarta Selatan;Siang;Hujan Sedang;60 - 95;21 - 34
04/01/2017;Jakarta Timur;Malam;Hujan Ringan;60 - 95;21 - 34
04/01/2017;Jakarta Timur;Pagi;Berawan;60 - 95;21 - 34
04/01/2017;Jakarta Timur;Siang;Hujan Sedang;60 - 95;21 - 34
04/01/2017;Jakarta Utara;Malam;Hujan Ringan;60 - 95;21 - 34
04/01/2017;Jakarta Utara;Pagi;Berawan;60 - 95;21 - 34
04/01/2017;Jakarta Utara;Siang;Hujan Ringan;60 - 95;21 - 34
04/01/2017;Kepulauan Seribu;Malam;Hujan Ringan;60 - 95;21 - 34
04/01/2017;Kepulauan Seribu;Pagi;Hujan Ringan;60 - 95;21 - 34
04/01/2017;Kepulauan Seribu;Siang;Hujan Ringan;60 - 95;21 - 34
05/01/2017;Jakarta Barat;Malam;Berawan;60 - 95 ;22 - 31
05/01/2017;Jakarta Barat;Pagi;Berawan Tebal;60 - 95 ;22 - 31
05/01/2017;Jakarta Barat;Siang;Berawan;60 - 95 ;22 - 31
05/01/2017;Jakarta Pusat;Malam;Berawan;60 - 95 ;22 - 31
05/01/2017;Jakarta Pusat;Pagi;Berawan Tebal;60 - 95 ;22 - 31
05/01/2017;Jakarta Pusat;Siang;Berawan;60 - 95 ;22 - 31
05/01/2017;Jakarta Selatan;Malam;Berawan;60 - 95 ;22 - 31
05/01/2017;Jakarta Selatan;Pagi;Berawan Tebal;60 - 95 ;22 - 31
05/01/2017;Jakarta Selatan;Siang;Hujan Ringan;60 - 95 ;22 - 31
05/01/2017;Jakarta Timur;Malam;Berawan;60 - 95 ;22 - 31
05/01/2017;Jakarta Timur;Pagi;Berawan Tebal;60 - 95 ;22 - 31
05/01/2017;Jakarta Timur;Siang;Hujan Ringan;60 - 95 ;22 - 31
05/01/2017;Jakarta Utara;Malam;Berawan;60 - 95 ;22 - 31
05/01/2017;Jakarta Utara;Pagi;Hujan Ringan;60 - 95 ;22 - 31
05/01/2017;Jakarta Utara;Siang;Berawan;60 - 95 ;22 - 31
05/01/2017;Kepulauan Seribu;Malam;Berawan;60 - 95 ;22 - 31
05/01/2017;Kepulauan Seribu;Pagi;Hujan Ringan;60 - 95 ;22 - 31
05/01/2017;Kepulauan Seribu;Siang;Berawan;60 - 95 ;22 - 31
08/01/2017;Jakarta Barat;Malam;Hujan Sedang;70 - 95;21 - 33
08/01/2017;Jakarta Barat;Pagi;Berawan;70 - 95;21 - 33
08/01/2017;Jakarta Barat;Siang;Hujan Sedang;70 - 95;21 - 33
08/01/2017;Jakarta Pusat;Malam;Hujan Ringan;70 - 95;21 - 33
08/01/2017;Jakarta Pusat;Pagi;Berawan;70 - 95;21 - 33
08/01/2017;Jakarta Pusat;Siang;Hujan Ringan;70 - 95;21 - 33
08/01/2017;Jakarta Selatan;Malam;Hujan Ringan;70 - 95;21 - 33
08/01/2017;Jakarta Selatan;Pagi;Berawan;70 - 95;21 - 33
08/01/2017;Jakarta Selatan;Siang;Hujan Sedang;70 - 95;21 - 33
08/01/2017;Jakarta Timur;Malam;Hujan Ringan;70 - 95;21 - 33
08/01/2017;Jakarta Timur;Pagi;Berawan;70 - 95;21 - 33
08/01/2017;Jakarta Timur;Siang;Hujan Sedang;70 - 95;21 - 33
08/01/2017;Jakarta Utara;Malam;Hujan Ringan;70 - 95;21 - 33
08/01/2017;Jakarta Utara;Pagi;Berawan;70 - 95;21 - 33
08/01/2017;Jakarta Utara;Siang;Hujan Ringan;70 - 95;21 - 33
08/01/2017;Kepulauan Seribu;Malam;Hujan Ringan;70 - 95;21 - 33
08/01/2017;Kepulauan Seribu;Pagi;Hujan Ringan;70 - 95;21 - 33
08/01/2017;Kepulauan Seribu;Siang;Hujan Ringan;70 - 95;21 - 33
10/01/2017;Jakarta Barat;Malam;Hujan Sedang;75 - 100 ;22 - 32
10/01/2017;Jakarta Barat;Pagi;Berawan;75 - 100 ;22 - 32
10/01/2017;Jakarta Barat;Siang;Hujan Sedang;75 - 100 ;22 - 32
10/01/2017;Jakarta Pusat;Malam;Hujan Ringan;75 - 100 ;22 - 32
10/01/2017;Jakarta Pusat;Pagi;Berawan;75 - 100 ;22 - 32
10/01/2017;Jakarta Pusat;Siang;Hujan Ringan;75 - 100 ;22 - 32
10/01/2017;Jakarta Selatan;Malam;Hujan Ringan;75 - 100 ;22 - 32
10/01/2017;Jakarta Selatan;Pagi;Berawan;75 - 100 ;22 - 32
10/01/2017;Jakarta Selatan;Siang;Hujan Sedang;75 - 100 ;22 - 32
10/01/2017;Jakarta Timur;Malam;Hujan Ringan;75 - 100 ;22 - 32
10/01/2017;Jakarta Timur;Pagi;Berawan;75 - 100 ;22 - 32
10/01/2017;Jakarta Timur;Siang;Hujan Sedang;75 - 100 ;22 - 32
10/01/2017;Jakarta Utara;Malam;Hujan Ringan;75 - 100 ;22 - 32
