umur,jenis_kelamin,pekerjaan,provinsi,gaji,is_menikah,is_keturunan,berat,tinggi,sampo,is_merokok,pendidikan,botak_prob
42.0,Laki-laki,PNS,Padang,7864004.982545329,0,0,61.92868494746879,152.1741638254119,Deadbuoy,1,S1,0.48765504098604023
33.0,Laki-laki,Pegawai swasta,Palangkaraya,6492662.290551791,0,0,49.37450705029683,152.82296905761683,Moonsilk,1,SMA,0.2972698689433598
59.0,Laki-laki,Freelance,Serang,8086302.91609897,1,0,59.072807242226254,159.91104743094957,Merpati,1,S1,0.46784767229305846
38.0,Laki-laki,Pegawai swasta,Gorontalo,11473212.562540766,0,1,68.33801359957734,162.55899730675804,Moonsilk,0,S1,0.616417872208616
33.0,Perempuan,Freelance,Tanjungselor,14759422.400087425,0,0,53.76999571761594,154.57950979636186,Pantone,1,S2,0.11543947788500297
39.0,Laki-laki,Pegawai swasta,Manado,10934704.22551454,0,0,64.68966767164798,154.16827384671862,Moonsilk,0,SMA,0.30379883501115734
29.0,Laki-laki,PNS,Tanjungselor,7669839.48532019,0,0,88.73878847410353,164.01391398956625,Shoulder & Head,0,S1,0.2571852581102409
36.0,Laki-laki,PNS,Jakarta,5268929.601008106,0,0,55.452607436574624,159.35709333991286,Deadbuoy,1,S1,0.36738185337127055
42.0,Laki-laki,PNS,Mataram,6950608.381990878,0,0,69.418221921949,161.68134018734827,Deadbuoy,1,SMA,0.4910333528498486
49.0,Perempuan,PNS,Samarinda,3981735.7470375113,0,0,59.58835737260621,165.19271064142808,Merpati,0,S1,0.23417024696319425
36.0,Perempuan,PNS,Manado,4608562.61786459,0,1,67.48885241569923,158.62435825458937,Merpati,0,SMP,0.43988269648939726
58.0,Laki-laki,Freelance,Palembang,9222056.284042828,0,1,70.93706089501737,170.1182441810522,Deadbuoy,1,SMP,0.7094455995620892
51.0,Laki-laki,Pegawai swasta,Semarang,5188498.54676652,0,0,65.29936508481917,159.02854315194386,Shoulder & Head,0,S1,0.37270746414120803
53.0,Laki-laki,Pegawai swasta,Yogyakarta,9335939.52246436,0,0,64.94582435247885,158.60011272640315,Merpati,0,S1,0.44052665807655145
38.0,Perempuan,Pegawai swasta,Medan,13916413.982193166,0,0,54.272180371545176,159.12149474079047,Pantone,0,S1,0.13416379135418344
33.0,Laki-laki,Freelance,Tanjung Pinang,7513333.861179185,0,0,50.6927913779707,159.18810795128036,Pantone,0,SMA,0.1448621350346611
18.0,Perempuan,Freelance,Mamuju,5614776.642092405,0,0,47.53090293336882,153.21428302373405,Shoulder & Head,0,SMP,0.007391124594420508
33.0,Perempuan,Pegawai swasta,Banda Lampung,10153087.578251397,0,0,54.858485814049416,160.7471278666017,Moonsilk,0,S1,0.09072980238230471
41.0,Laki-laki,PNS,Palembang,16833564.37395128,0,0,59.10768959136911,155.24278489209652,Moonsilk,0,S2,0.38570652623222934
55.0,Laki-laki,PNS,Serang,11601979.29056908,0,0,57.928387113951004,159.75492013056007,Pantone,1,SMA,0.6914042736035119
36.0,Perempuan,PNS,Mamuju,7222836.82319544,0,0,71.87772910216194,166.40621263151908,Shoulder & Head,0,S1,0.20489330246726342
29.0,Laki-laki,PNS,Palembang,8692987.643832989,0,0,68.89751222684319,160.65676957120849,Pantone,0,S1,0.20505559715956534
32.0,Laki-laki,Pegawai swasta,Palu,5951630.462952301,0,0,50.433844561403,151.37577949096587,Shoulder & Head,1,S1,0.3262255827035493
28.0,Laki-laki,PNS,Palangkaraya,4972272.264802293,0,0,57.216253297814795,163.27172911865472,Pantone,1,S1,0.3995438779345607
26.0,Laki-laki,PNS,Jakarta,8376390.447265105,0,0,46.021852123146324,149.47490488341873,Deadbuoy,1,SMP,0.4212255252157149
30.0,Laki-laki,Pengangguran,Semarang,6217523.275197789,0,0,56.1298643786362,157.57539885207598,Shoulder & Head,0,SMP,0.5411622636978487
28.0,Perempuan,Pegawai swasta,Manado,14718961.523318576,0,0,57.35949063129277,165.05277622540518,Pantone,1,S1,0.22808029010144695
36.0,Perempuan,Pegawai swasta,Yogyakarta,14179627.739885977,0,1,61.82798484740759,163.939594445406,Deadbuoy,0,SMA,0.4422169090126683
30.0,Laki-laki,PNS,Yogyakarta,9932670.066138035,0,1,53.98197177163822,157.22937307208147,Merpati,0,S1,0.7169036266279845
48.0,Laki-laki,PNS,Ambon,16443550.167990267,0,0,56.85125311999609,162.8706911446214,Pantone,0,SMA,0.4312641583485524
34.0,Laki-laki,PNS,Tanjungselor,5619398.9466849845,0,1,50.553659480038995,157.13906208473858,Pantone,0,SMP,0.5492238622114614
43.0,Laki-laki,,Ambon,3959176.966087187,0,0,55.34220107349531,158.87015436098366,Deadbuoy,1,SMP,0.4748007718491564
49.0,Laki-laki,Freelance,Banjarmasin,5354801.812262032,0,0,55.15318078426027,159.11650905798757,Deadbuoy,0,SD,0.2245743396257129
45.0,Laki-laki,Freelance,Banda Aceh,10541642.56629389,0,1,51.909846160799255,157.71352693602853,Shoulder & Head,0,SMA,0.5070264833515893
43.0,Laki-laki,PNS,Bandung,9706705.478883665,0,0,60.86832259320591,161.09151626862575,Deadbuoy,0,S1,0.394408227726154
47.0,Laki-laki,Pegawai swasta,Ambon,8008017.091947315,0,0,49.71048800464358,149.0759194732682,Merpati,0,S1,0.29296647936544606
55.0,Perempuan,PNS,Pekanbaru,22693961.327375595,0,1,47.086170615090595,149.32358579731763,Deadbuoy,1,S1,0.8791804879573173
34.0,Laki-laki,Freelance,Banda Aceh,7650848.222187952,0,0,44.20458520867912,155.12669082164985,Moonsilk,0,S1,0.09841926859622481
13.0,Perempuan,Pengangguran,Tanjung Pinang,5873240.865722969,0,0,50.85158351029477,157.6876955896548,Merpati,1,S1,0.5132316486465361
31.0,Laki-laki,PNS,Serang,8554167.465861566,0,0,52.60951224766675,150.74370409909972,Merpati,0,S1,0.32822438565533557
32.0,Laki-laki,Pegawai swasta,Gorontalo,2922671.429976709,0,0,84.91540714592706,168.03560372477503,Shoulder & Head,0,S1,0.2199471226497317
24.0,Laki-laki,PNS,Mataram,4308049.3117815275,0,0,58.44858747029991,163.39105694057,Pantone,0,S1,0.2575166621877054
48.0,Perempuan,Freelance,Pangkalpinang,7219947.471160927,0,0,61.29756642280432,164.013383029694,Merpati,0,SMA,0.17790273364171416
33.0,Laki-laki,Pegawai swasta,Jakarta,1945540.570384677,0,1,61.690637668190696,152.28466794475804,Shoulder & Head,0,SMA,0.46409838424959066
45.0,Perempuan,Pegawai swasta,Bandung,14518234.766207125,0,0,61.893489334024494,170.15682249524247,Pantone,0,S2,0.1944474228196459
