date,total_sales,tickets_sold
2018-02-21,32030000,267
2018-02-22,0,0
2018-02-23,180000,3
2018-02-24,0,0
2018-02-25,0,0
2018-02-26,0,0
2018-02-27,0,0
2018-02-28,0,0
2018-03-01,0,0
2018-03-02,0,0
2018-03-03,0,0
2018-03-04,0,0
2018-03-05,0,0
2018-03-06,0,0
2018-03-07,0,0
2018-03-08,0,0
2018-03-09,0,0
2018-03-10,0,0
2018-03-11,0,0
2018-03-12,0,0
2018-03-13,0,0
2018-03-14,2202300484,20104
2018-03-15,4479008974,41274
2018-03-16,5386645987,51761
2018-03-17,3367302992,38026
2018-03-18,3298541496,34424
2018-03-19,3232929498,33078
2018-03-20,259605000,4028
2018-03-21,5901486491,50695
2018-03-22,9916534482,87065
2018-03-23,12527888982,113158
2018-03-24,14428049975,130537
2018-03-25,14290978484,131732
2018-03-26,15081322476,140119
2018-03-27,21319389499,218718
2018-03-28,18384097973,175564
2018-03-29,17991448474,170002
2018-03-30,19260582990,182806
2018-03-31,19175261481,182239
2018-04-01,21054943500,197341
2018-04-02,9515546000,81396
2018-04-03,13271113984,247088
2018-04-04,12364339996,123485
2018-04-05,17000424447,164654
2018-04-06,18017097466,175430
2018-04-07,6555139494,72819
2018-04-08,6357750493,67697
2018-04-09,6716628994,71285
2018-04-10,15166529992,293781
2018-04-11,10357603980,114932
2018-04-12,15589092969,159044
2018-04-13,19760463948,198227
2018-04-14,17076868471,169665
2018-04-15,5872926999,65510
2018-04-16,5558456492,65263
2018-04-17,14165408990,277116
2018-04-18,10502966975,120262
2018-04-19,15503634985,157950
2018-04-20,17143969966,169035
2018-04-21,6312409990,75693
2018-04-22,6124909993,71169
2018-04-23,6179329991,71891
2018-04-24,14682769986,287832
2018-04-25,9541204985,110808
2018-04-26,15248135965,155076
2018-04-27,16165939966,161377
2018-04-28,6048544996,77487
2018-04-29,5880514998,71306
2018-04-30,4879994996,59994
2018-05-01,12767464997,244133
2018-05-02,15439305219,147552
2018-05-03,14267975253,138158
2018-05-04,14782460000,140733
2018-05-05,5160744997,62379
2018-05-06,4885784998,56343
2018-05-07,4945088994,56894
2018-05-08,12224339997,231476
2018-05-09,6954769992,77536
2018-05-10,12111469981,117735
2018-05-11,13925444994,133681
2018-05-12,5071305000,60608
2018-05-13,4777905000,52677
2018-05-14,4311504998,48901
2018-05-15,11551654993,215590
2018-05-16,6722449991,72216
2018-05-17,8227159992,92424
2018-05-18,9881376989,116784
2018-05-19,3983179998,52883
2018-05-20,4081944990,52327
2018-05-21,3931930000,52251
2018-05-22,8897314988,159241
2018-05-23,5436709994,68924
2018-05-24,8200559996,96322
2018-05-25,8600284987,104930
2018-05-26,3638441997,50287
2018-05-27,3467414999,45373
2018-05-28,3522814991,46659
2018-05-29,7313715000,130270
2018-05-30,4182914996,54301
2018-05-31,6329939996,73145
2018-06-01,7275158987,87983
2018-06-02,3476785000,46102
2018-06-03,1080955000,18435
2018-06-04,0,0
2018-06-05,71400000,1428
2018-06-06,0,0
2018-06-07,3475384992,40906
2018-06-08,4161084994,48438
2018-06-09,2320559997,31174
2018-06-10,2249234999,29657
2018-06-11,2184359996,29135
2018-06-12,4986375000,89109
2018-06-13,3329234997,43402
2018-06-14,4514695996,52887
2018-06-15,2770535998,26034
2018-06-16,6132539988,55904
2018-06-17,2560324998,26456
2018-06-18,2486669999,25395
2018-06-19,6885634999,127072
2018-06-20,1395420000,16072
2018-06-21,5211629997,47514
2018-06-22,6610534993,59225
2018-06-23,2458610000,27775
2018-06-24,2258259998,23315
2018-06-25,980205000,10742
2018-06-26,5649075993,103368
2018-06-27,2906701994,28569
2018-06-28,6139889988,54194
2018-06-29,7667164992,68344
2018-06-30,2763044998,30960
2018-07-01,2834914996,28217
2018-07-02,2704864998,26768
2018-07-03,8148094996,145928
2018-07-04,5828224984,52890
2018-07-05,9662509981,84677
2018-07-06,11396164998,100201
2018-07-07,5540397993,58243
2018-07-08,2825644988,25727
2018-07-09,13120000,239
2018-07-10,10786194995,192812
2018-07-11,6959104995,66224
2018-07-12,12008334977,107183
2018-07-13,15812514981,142586
2018-07-14,6480759976,67503
2018-07-15,5510644991,54132
2018-07-16,6653094991,62433
2018-07-17,13076185989,237871
2018-07-18,8999259980,87295
2018-07-19,13190757991,119164
2018-07-20,16851959987,152974
2018-07-21,7159569982,76194
2018-07-22,6549649998,63337
2018-07-23,6172484993,58526
2018-07-24,13319830996,241204
2018-07-25,8000094991,77161
2018-07-26,12027644995,107303
2018-07-27,14885269983,134072
2018-07-28,6264484991,66451
2018-07-29,5555974987,52871
2018-07-30,5918124988,55868
2018-07-31,13719579997,245972
2018-08-01,8289149995,79706
2018-08-02,11822730988,105001
2018-08-03,15215489991,136647
2018-08-04,6382794992,68980
2018-08-05,5724189989,55486
2018-08-06,5464959990,52949
2018-08-07,13684424998,246260
2018-08-08,7918147990,78209
2018-08-09,11818904985,106050
2018-08-10,14990894987,136444
2018-08-11,5547329992,60613
2018-08-12,5057709998,49482
2018-08-13,5179299994,51325
2018-08-14,13195990000,237251
2018-08-15,7010064996,70360
2018-08-16,10157724991,91990
2018-08-17,13006859983,118680
2018-08-18,4947809996,54845
2018-08-19,4381749995,43027
2018-08-20,4492764993,45664
2018-08-21,10896969987,194225
2018-08-22,10470650988,97523
2018-08-23,8538013991,75412
2018-08-24,10252485988,92444
2018-08-25,3991755995,45191
2018-08-26,3868814995,40022
2018-08-27,3315899998,33097
2018-08-28,10093979999,178864
2018-08-29,4719294994,45969
2018-08-30,8386129996,74497
2018-08-31,9473809990,85167
2018-09-01,3514239995,39044
2018-09-02,3177834999,31772
2018-09-03,3079459999,30761
2018-09-04,9617799998,169217
2018-09-05,3779844998,37626
2018-09-06,6447464996,57472
2018-09-07,8191619996,74011
2018-09-08,3489475000,38807
2018-09-09,3739479991,37741
2018-09-10,3160190000,30908
2018-09-11,5158634999,86099
2018-09-12,2713225000,46787
2018-09-13,2489464996,22306
2018-09-14,2929924999,25720
2018-09-15,1149309998,12325
2018-09-16,1068095000,10624
2018-09-17,877775000,8820
2018-09-18,536595000,9388
2018-09-19,0,0
2018-09-20,0,0
2018-09-21,200000,8
2018-09-22,16585000,381
2018-09-23,1024435000,9782
2018-09-24,1045615000,10424
2018-09-25,3272360000,55258
2018-09-26,4574450000,39455
2018-09-27,5604900000,47218
2018-09-28,9523550000,81321
2018-09-29,3206750000,33312
2018-09-30,3180315000,28392
